Feature,Mean_Absolute_SHAP,Random_Seed,Fold
categorical__default_yes,0.0003898487149345375,52,3
categorical__housing_no,0.23125746690819066,52,3
categorical__housing_yes,0.22178753482588193,52,3
categorical__loan_no,0.06316092304762372,52,3
categorical__loan_yes,0.05877293531796513,52,3
categorical__contact_cellular,0.2573583881685421,52,3
categorical__contact_telephone,0.049498764665525344,52,3
categorical__contact_unknown,0.4489061714761256,52,3
categorical__month_apr,0.00861336195810912,52,3
categorical__month_aug,0.19163087847551344,52,3
categorical__month_dec,0.02091306067663718,52,3
categorical__month_feb,0.009170620137062307,52,3
categorical__month_jan,0.09629394900811694,52,3
categorical__month_jul,0.23847153370401672,52,3
categorical__month_jun,0.03886801159772328,52,3
categorical__month_mar,0.037333400610650685,52,3
categorical__month_may,0.28131722102658163,52,3
categorical__month_nov,0.20084578156361774,52,3
categorical__month_oct,0.009386240057859043,52,3
categorical__month_sep,0.018037999598300703,52,3
categorical__poutcome_failure,0.12289362794636124,52,3
categorical__poutcome_other,0.01749829389953072,52,3
categorical__poutcome_success,0.13136052055801242,52,3
categorical__poutcome_unknown,0.26502562567221977,52,3
numeric__age,0.022316851898761186,100,1
numeric__balance,0.009221360357144773,100,1
numeric__day,0.009866902182433112,100,1
